time;type;cp;cp_target_power;cp_charging_rate;vehicle;vehicle_soc;vehicle_charge;vehicle_capacity;cp_charge_increment;type_second;cp_second;cp_target_power_second;cp_charging_rate_second;vehicle_soc_second;vehicle_charge_second;vehicle_capacity_second;cp_charge_increment_second
21767;A;3.0;22,0;22,0;1,0;0,88;56,32;64,0;;;;;;;;;
21900;U;3.0;22,0;22,0;1,0;0,8926996527777777;57,132777777777775;64,0;0,8127777777777778;U;8.0;22,0;22,0;0,5392888888888888;40,446666666666665;75,0;0,6966666666666667
22100;A;3.0;22,0;22,0;1,0;0,911796875;58,355;64,0;1,2222222222222223;U;8.0;22,0;22,0;0,5392888888888888;40,446666666666665;75,0;0
22200;U;3.0;22,0;22,0;1,0;0,9213454861111111;58,96611111111111;64,0;0,6111111111111112;U;8.0;22,0;22,0;0,5637333333333333;42,28;75,0;0,9777777777777779
22367;A;3.0;22,0;22,0;1,0;0,9372916666666666;59,986666666666665;64,0;1,0205555555555557;U;8.0;22,0;22,0;0,5637333333333333;42,28;75,0;0
22500;U;3.0;22,0;22,0;1,0;0,9499913194444444;60,79944444444444;64,0;0,8127777777777778;U;8.0;22,0;22,0;0,5881777777777778;44,11333333333334;75,0;1,8333333333333335
22742;A;3.0;22,0;22,0;1,0;0,9730989583333333;62,27833333333333;64,0;1,478888888888889;U;8.0;22,0;22,0;0,5881777777777778;44,11333333333334;75,0;0
22800;U;3.0;22,0;22,0;1,0;0,9786371527777777;62,632777777777775;64,0;0,35444444444444445;U;8.0;22,0;22,0;0,6126222222222223;45,94666666666667;75,0;1,8333333333333335
23026;A;3.0;0,0;0,0;1,0;1,0;64,0;64,0;1,3672222222222246;U;8.0;22,0;22,0;0,6126222222222223;45,94666666666667;75,0;0
23100;U;3.0;0,0;0,0;1,0;1,0;64,0;64,0;0,0;U;8.0;22,0;22,0;0,6370666666666668;47,78000000000001;75,0;1,1611111111111112
23358;A;3.0;0,0;0,0;1,0;1,0;64,0;64,0;0,0;U;8.0;22,0;22,0;0,6370666666666668;47,78000000000001;75,0;0
23400;U;3.0;0,0;0,0;1,0;1,0;64,0;64,0;0,0;U;8.0;22,0;22,0;0,6615111111111112;49,61333333333334;75,0;0,33611111111111114
24657;A;7.0;22,0;22,0;10,0;0,59;30,68;52,0;;;;;;;;;
24900;U;7.0;22,0;22,0;10,0;0,6185576923076923;32,165;52,0;1,485;;;;;;;;0
25029;D;7.0;22,0;22,0;10,0;0,6337179487179487;32,95333333333333;52,0;0,7883333333333333;;;;;;;;0
25200;U;7.0;22,0;22,0;10,0;0,6538141025641026;33,998333333333335;52,0;1,0450000000000002;;;;;;;;0
25353;A;7.0;22,0;22,0;10,0;0,6717948717948719;34,93333333333334;52,0;0,935;;;;;;;;0
25500;U;7.0;22,0;22,0;10,0;0,6890705128205129;35,83166666666667;52,0;0,8983333333333334;;;;;;;;0
25648;D;7.0;22,0;22,0;10,0;0,7064636752136753;36,736111111111114;52,0;0,9044444444444445;;;;;;;;0
25800;U;7.0;22,0;22,0;10,0;0,7243269230769231;37,665000000000006;52,0;0,928888888888889;;;;;;;;0
26062;D;7.0;22,0;22,0;10,0;0,7551175213675214;39,266111111111115;52,0;1,6011111111111112;;;;;;;;0
26100;U;7.0;22,0;22,0;10,0;0,7595833333333334;39,498333333333335;52,0;0,23222222222222225;;;;;;;;0
26196;A;7.0;22,0;22,0;10,0;0,7708653846153847;40,085;52,0;0,5866666666666667;;;;;;;;0
26400;U;7.0;22,0;22,0;10,0;0,7948397435897436;41,33166666666667;52,0;1,2466666666666668;U;9.0;15,0;15,0;0,3594711538461538;18,6925;52,0;1,0125
26687;A;7.0;20,0;20,0;10,0;0,8285683760683761;43,08555555555556;52,0;1,753888888888889;U;9.0;15,0;15,0;0,3594711538461538;18,6925;52,0;0
26700;U;7.0;20,0;20,0;10,0;0,8299572649572651;43,15777777777778;52,0;0,07222222222222223;U;9.0;15,0;15,0;0,38350961538461537;19,9425;52,0;1,25
26784;A;7.0;20,0;20,0;10,0;0,838931623931624;43,62444444444445;52,0;0,4666666666666667;U;9.0;15,0;15,0;0,38350961538461537;19,9425;52,0;0
27000;U;7.0;20,0;20,0;10,0;0,8620085470085471;44,82444444444445;52,0;1,2;U;9.0;17,142857142857142;17,142857142857142;0,40754807692307693;21,1925;52,0;1,25
27075;D;7.0;20,0;20,0;10,0;0,8700213675213676;45,24111111111112;52,0;0,4166666666666667;U;9.0;17,142857142857142;17,142857142857142;0,40754807692307693;21,1925;52,0;0
27300;U;7.0;20,0;20,0;10,0;0,8940598290598292;46,49111111111112;52,0;1,25;U;9.0;17,142857142857142;17,142857142857142;0,43502060439560436;22,621071428571426;52,0;1,4285714285714284
27439;A;7.0;17,142857142857142;17,142857142857142;10,0;0,9089102564102566;47,26333333333334;52,0;0,7722222222222223;U;9.0;17,142857142857142;17,142857142857142;0,43502060439560436;22,621071428571426;52,0;0
27600;U;7.0;17,142857142857142;17,142857142857142;10,0;0,9236538461538463;48,03000000000001;52,0;0,7666666666666666;U;9.0;17,142857142857142;17,142857142857142;0,4605929487179487;23,950833333333332;52,0;0,6916666666666667
