time;type;cp;cp_target_power;cp_charging_rate;vehicle;vehicle_soc;vehicle_charge;vehicle_capacity;cp_charge_increment
22074;A;1;22,0;22,0;1,0;0,37;11,950999999999999;32,3;
22200;U;1;22,0;22,0;1,0;0,3938390092879257;12,720999999999998;32,3;0,77
22425;A;1;22,0;22,0;1,0;0,43640866873065015;14,095999999999998;32,3;1,375
22425;A;4;22,0;22,0;2,0;0,6500000000000001;33,800000000000004;52,0;
22500;U;1;22,0;22,0;1,0;0,45059855521155834;14,554333333333332;32,3;0,45833333333333337
22500;U;4;22,0;22,0;2,0;0,6588141025641027;34,25833333333334;52,0;0,45833333333333337
22515;A;1;22,0;22,0;1,0;0,45343653250773996;14,645999999999999;32,3;0,09166666666666667
22515;A;3;22,0;22,0;3,0;0,39;20,28;52,0;
22515;A;4;22,0;22,0;2,0;0,6605769230769233;34,35000000000001;52,0;0,09166666666666667
22800;U;1;22,0;22,0;1,0;0,5073581011351909;16,387666666666664;32,3;1,7416666666666667
22800;U;3;22,0;22,0;3,0;0,42349358974358975;22,02166666666667;52,0;1,7416666666666667
22800;U;4;22,0;22,0;2,0;0,694070512820513;36,091666666666676;52,0;1,7416666666666667
23098;A;0;22,0;22,0;4,0;0,43;13,889;32,3;
23098;A;1;22,0;22,0;1,0;0,5637392500859993;18,208777777777776;32,3;1,8211111111111111
23098;A;3;22,0;22,0;3,0;0,4585149572649573;23,84277777777778;52,0;1,8211111111111111
23098;A;4;22,0;22,0;2,0;0,7290918803418804;37,912777777777784;52,0;1,8211111111111111
23100;U;0;22,0;22,0;4,0;0,43037839697282426;13,901222222222222;32,3;0,012222222222222223
23100;U;1;22,0;22,0;1,0;0,5641176470588235;18,220999999999997;32,3;0,012222222222222223
23100;U;3;22,0;22,0;3,0;0,45875;23,855;52,0;0,012222222222222223
23100;U;4;22,0;22,0;2,0;0,7293269230769232;37,925000000000004;52,0;0,012222222222222223
23230;A;0;22,0;22,0;4,0;0,4549742002063984;14,695666666666666;32,3;0,7944444444444445
23230;A;1;22,0;22,0;1,0;0,5887134502923976;19,01544444444444;32,3;0,7944444444444445
23230;A;3;22,0;22,0;3,0;0,47402777777777777;24,649444444444445;52,0;0,7944444444444445
23230;A;4;22,0;22,0;2,0;0,744604700854701;38,71944444444445;52,0;0,7944444444444445
23230;A;5;22,0;22,0;5,0;0,66;24,618;37,3;
23400;U;0;22,0;22,0;4,0;0,4871379428964569;15,734555555555556;32,3;1,038888888888889
23400;U;1;22,0;22,0;1,0;0,620877192982456;20,05433333333333;32,3;1,038888888888889
23400;U;3;22,0;22,0;3,0;0,49400641025641023;25,688333333333333;52,0;1,038888888888889
23400;U;4;22,0;22,0;2,0;0,7645833333333335;39,75833333333334;52,0;1,038888888888889
23400;U;5;22,0;22,0;5,0;0,6878522490318737;25,656888888888886;37,3;1,038888888888889
23594;A;0;20,0;20,0;4,0;0,523842449260406;16,92011111111111;32,3;1,1855555555555557
23594;A;1;20,0;20,0;1,0;0,6575816993464052;21,239888888888885;32,3;1,1855555555555557
23594;A;3;20,0;20,0;3,0;0,5168055555555555;26,87388888888889;52,0;1,1855555555555557
23594;A;4;20,0;20,0;2,0;0,7873824786324787;40,94388888888889;52,0;1,1855555555555557
23594;A;5;20,0;20,0;5,0;0,7196365802800119;26,842444444444443;37,3;1,1855555555555557
23594;A;8;20,0;20,0;6,0;0,51;19,023;37,3;
23700;U;0;20,0;20,0;4,0;0,5420743034055728;17,509;32,3;0,5888888888888889
23700;U;1;20,0;20,0;1,0;0,675813553491572;21,828777777777773;32,3;0,5888888888888889
23700;U;3;20,0;20,0;3,0;0,5281303418803419;27,462777777777777;52,0;0,5888888888888889
23700;U;4;20,0;20,0;2,0;0,7987072649572651;41,53277777777778;52,0;0,5888888888888889
23700;U;5;20,0;20,0;5,0;0,7354244861483468;27,43133333333333;37,3;0,5888888888888889
23700;U;8;20,0;20,0;6,0;0,5257879058683348;19,61188888888889;37,3;0,5888888888888889
24000;U;0;20,0;20,0;4,0;0,5936738906088752;19,175666666666668;32,3;1,6666666666666667
24000;U;1;20,0;20,0;1,0;0,7274131406948744;23,49544444444444;32,3;1,6666666666666667
24000;U;3;20,0;20,0;3,0;0,560181623931624;29,129444444444445;52,0;1,6666666666666667
24000;U;4;20,0;20,0;2,0;0,830758547008547;43,199444444444445;52,0;1,6666666666666667
24000;U;5;20,0;20,0;5,0;0,7801072386058981;29,098;37,3;1,6666666666666667
24000;U;8;20,0;20,0;6,0;0,5704706583258863;21,278555555555556;37,3;1,6666666666666667
24193;A;0;17,142857142857142;17,142857142857142;4,0;0,6268696250429998;20,24788888888889;32,3;1,0722222222222222
24193;A;1;17,142857142857142;17,142857142857142;1,0;0,760608875128999;24,567666666666664;32,3;1,0722222222222222
24193;A;3;17,142857142857142;17,142857142857142;3,0;0,5808012820512821;30,201666666666668;52,0;1,0722222222222222
24193;A;4;17,142857142857142;17,142857142857142;2,0;0,8513782051282052;44,27166666666667;52,0;1,0722222222222222
24193;A;5;17,142857142857142;17,142857142857142;5,0;0,8088531426869229;30,170222222222222;37,3;1,0722222222222222
24193;A;7;17,142857142857142;17,142857142857142;7,0;0,74;28,046;37,9;
24193;A;8;17,142857142857142;17,142857142857142;6,0;0,599216562406911;22,35077777777778;37,3;1,0722222222222222
24300;U;0;17,142857142857142;17,142857142857142;4,0;0,6426443559880094;20,7574126984127;32,3;0,5095238095238095
24300;U;1;17,142857142857142;17,142857142857142;1,0;0,7763836060740086;25,077190476190474;32,3;0,5095238095238095
24300;U;3;17,142857142857142;17,142857142857142;3,0;0,5905998168498169;30,711190476190477;52,0;0,5095238095238095
24300;U;4;17,142857142857142;17,142857142857142;2,0;0,8611767399267399;44,781190476190474;52,0;0,5095238095238095
24300;U;5;17,142857142857142;17,142857142857142;5,0;0,8225132984382315;30,67974603174603;37,3;0,5095238095238095
24300;U;7;17,142857142857142;17,142857142857142;7,0;0,7534438999874357;28,55552380952381;37,9;0,5095238095238095
24300;U;8;17,142857142857142;17,142857142857142;6,0;0,6128767181582195;22,86030158730159;37,3;0,5095238095238095
24600;U;0;17,142857142857142;17,142857142857142;4,0;0,68687257359084;22,185984126984128;32,3;1,4285714285714284
24600;U;1;17,142857142857142;17,142857142857142;1,0;0,820611823676839;26,5057619047619;32,3;1,4285714285714284
24600;U;3;17,142857142857142;17,142857142857142;3,0;0,6180723443223444;32,139761904761905;52,0;1,4285714285714284
24600;U;4;17,142857142857142;17,142857142857142;2,0;0,8886492673992674;46,209761904761905;52,0;1,4285714285714284
24600;U;5;17,142857142857142;17,142857142857142;5,0;0,860812800544704;32,10831746031746;37,3;1,4285714285714284
24600;U;7;17,142857142857142;17,142857142857142;7,0;0,7911370775223018;29,984095238095236;37,9;1,4285714285714284
24600;U;8;17,142857142857142;17,142857142857142;6,0;0,6511762202646921;24,288873015873016;37,3;1,4285714285714284
24900;U;0;17,142857142857142;17,142857142857142;4,0;0,7311007911936704;23,614555555555555;32,3;1,4285714285714284
24900;U;1;17,142857142857142;17,142857142857142;1,0;0,8648400412796696;27,934333333333328;32,3;1,4285714285714284
24900;U;3;17,142857142857142;17,142857142857142;3,0;0,6455448717948719;33,568333333333335;52,0;1,4285714285714284
24900;U;4;17,142857142857142;17,142857142857142;2,0;0,9161217948717949;47,638333333333335;52,0;1,4285714285714284
24900;U;5;17,142857142857142;17,142857142857142;5,0;0,8991123026511767;33,53688888888889;37,3;1,4285714285714284
24900;U;7;17,142857142857142;17,142857142857142;7,0;0,8288302550571679;31,412666666666663;37,9;1,4285714285714284
24900;U;8;17,142857142857142;17,142857142857142;6,0;0,6894757223711647;25,717444444444443;37,3;1,4285714285714284
25062;A;0;15,0;15,0;4,0;0,754984028699199;24,385984126984127;32,3;0,7714285714285714
25062;A;1;15,0;15,0;1,0;0,8887232787851982;28,7057619047619;32,3;0,7714285714285714
25062;A;2;15,0;15,0;8,0;0,33;12,309;37,3;
25062;A;3;15,0;15,0;3,0;0,6603800366300366;34,33976190476191;52,0;0,7714285714285714
25062;A;4;15,0;15,0;2,0;0,9309569597069598;48,40976190476191;52,0;0,7714285714285714
25062;A;5;15,0;15,0;5,0;0,919794033788672;34,30831746031746;37,3;0,7714285714285714
25062;A;7;15,0;15,0;7,0;0,8491845709259956;32,18409523809523;37,9;0,7714285714285714
25062;A;8;15,0;15,0;6,0;0,71015745350866;26,488873015873015;37,3;0,7714285714285714
25200;U;0;15,0;15,0;4,0;0,7727858862843383;24,960984126984126;32,3;0,575
25200;U;1;15,0;15,0;1,0;0,9065251363703375;29,2807619047619;32,3;0,575
25200;U;2;15,0;15,0;8,0;0,3454155495978552;12,883999999999999;37,3;0,575
25200;U;3;15,0;15,0;3,0;0,671437728937729;34,91476190476191;52,0;0,575
25200;U;4;15,0;15,0;2,0;0,9420146520146522;48,98476190476191;52,0;0,575
25200;U;5;15,0;15,0;5,0;0,9352095833865273;34,883317460317464;37,3;0,575
25200;U;7;15,0;15,0;7,0;0,8643560748837793;32,759095238095234;37,9;0,575
25200;U;8;15,0;15,0;6,0;0,7255730031065152;27,063873015873014;37,3;0,575
25500;U;0;15,0;15,0;4,0;0,8114855766868151;26,210984126984126;32,3;1,25
25500;U;1;15,0;15,0;1,0;0,9452248267728143;30,5307619047619;32,3;1,25
25500;U;2;15,0;15,0;8,0;0,37892761394101876;14,133999999999999;37,3;1,25
25500;U;3;15,0;15,0;3,0;0,6954761904761906;36,16476190476191;52,0;1,25
