time;type;cp;cp_target_power;cp_charging_rate;vehicle;vehicle_soc;vehicle_charge;vehicle_capacity;cp_charge_increment
21767;A;3;22,0;22,0;1,0;0,88;56,32;64,0;
21900;U;3;22,0;22,0;1,0;0,8926996527777777;57,132777777777775;64,0;0,8127777777777778
22100;A;2;22,0;22,0;2,0;0,62;20,026;32,3;
22100;A;3;22,0;22,0;1,0;0,911796875;58,355;64,0;1,2222222222222223
22200;U;2;22,0;22,0;2,0;0,6389198486412109;20,63711111111111;32,3;0,6111111111111112
22200;U;3;22,0;22,0;1,0;0,9213454861111111;58,96611111111111;64,0;0,6111111111111112
22367;A;0;22,0;22,0;3,0;0,7;26,529999999999998;37,9;
22367;A;2;22,0;22,0;2,0;0,6705159958720331;21,657666666666668;32,3;1,0205555555555557
22367;A;3;22,0;22,0;1,0;0,9372916666666666;59,986666666666665;64,0;1,0205555555555557
22500;U;0;22,0;22,0;3,0;0,7214453239519203;27,342777777777776;37,9;0,8127777777777778
22500;U;2;22,0;22,0;2,0;0,6956793945648436;22,470444444444446;32,3;0,8127777777777778
22500;U;3;22,0;22,0;1,0;0,9499913194444444;60,79944444444444;64,0;0,8127777777777778
22742;A;0;22,0;22,0;3,0;0,7604661389621812;28,821666666666665;37,9;1,478888888888889
22742;A;2;22,0;22,0;2,0;0,7414654282765739;23,949333333333335;32,3;1,478888888888889
22742;A;3;22,0;22,0;1,0;0,9730989583333333;62,27833333333333;64,0;1,478888888888889
22742;A;8;22,0;22,0;4,0;0,62;23,125999999999998;37,3;
22800;U;0;22,0;22,0;3,0;0,7698182351216651;29,17611111111111;37,9;0,35444444444444445
22800;U;2;22,0;22,0;2,0;0,7524389404884761;24,30377777777778;32,3;0,35444444444444445
22800;U;3;22,0;22,0;1,0;0,9786371527777777;62,632777777777775;64,0;0,35444444444444445
22800;U;8;22,0;22,0;4,0;0,6295025320226392;23,48044444444444;37,3;0,35444444444444445
23026;A;0;22,0;22,0;3,0;0,8062591615362064;30,55722222222222;37,9;1,3811111111111112
