# Example simulation
time;type;cp;cp_target_power;cp_charging_rate;vehicle;vehicle_soc;vehicle_charge;vehicle_capacity;cp_charge_increment
21786;A;8;22,0;22,0;1,0;0,53;39,75;75,0;
21900;U;8;22,0;22,0;1,0;0,5392888888888888;40,446666666666665;75,0;0,6966666666666667
22040;A;2;22,0;22,0;2,0;0,44;22,88;52,0;
22040;A;8;22,0;22,0;1,0;0,5506962962962962;41,30222222222222;75,0;0,8555555555555556
22200;U;2;22,0;22,0;2,0;0,4588034188034188;23,857777777777777;52,0;0,9777777777777779
22200;U;8;22,0;22,0;1,0;0,5637333333333333;42,28;75,0;0,9777777777777779
22500;U;2;22,0;22,0;2,0;0,49405982905982904;25,69111111111111;52,0;1,8333333333333335
22500;U;8;22,0;22,0;1,0;0,5881777777777778;44,11333333333334;75,0;1,8333333333333335
22800;U;2;22,0;22,0;2,0;0,5293162393162393;27,52444444444444;52,0;1,8333333333333335
22800;U;8;22,0;22,0;1,0;0,6126222222222223;45,94666666666667;75,0;1,8333333333333335
22910;A;1;22,0;22,0;3,0;0,8;60,0;75,0;
22910;A;2;22,0;22,0;2,0;0,5422435897435897;28,196666666666662;52,0;0,6722222222222223
22910;A;8;22,0;22,0;1,0;0,6215851851851852;46,6188888888889;75,0;0,6722222222222223
23100;U;1;22,0;22,0;3,0;0,8154814814814815;61,16111111111111;75,0;1,1611111111111112
23100;U;2;22,0;22,0;2,0;0,5645726495726495;29,357777777777773;52,0;1,1611111111111112
23100;U;8;22,0;22,0;1,0;0,6370666666666668;47,78000000000001;75,0;1,1611111111111112
23345;A;1;22,0;22,0;3,0;0,8354444444444444;62,65833333333333;75,0;1,4972222222222222
23345;A;2;22,0;22,0;2,0;0,5933653846153846;30,854999999999997;52,0;1,4972222222222222
23345;A;4;22,0;22,0;4,0;0,85;54,4;64,0;
23345;A;8;22,0;22,0;1,0;0,6570296296296297;49,27722222222223;75,0;1,4972222222222222
23400;U;1;22,0;22,0;3,0;0,8399259259259259;62,99444444444444;75,0;0,33611111111111114
23400;U;2;22,0;22,0;2,0;0,5998290598290598;31,19111111111111;52,0;0,33611111111111114
23400;U;4;22,0;22,0;4,0;0,855251736111111;54,73611111111111;64,0;0,33611111111111114
23400;U;8;22,0;22,0;1,0;0,6615111111111112;49,61333333333334;75,0;0,33611111111111114
23636;A;1;22,0;22,0;3,0;0,8591555555555556;64,43666666666667;75,0;1,4422222222222223
23636;A;2;22,0;22,0;2,0;0,6275641025641026;32,63333333333333;52,0;1,4422222222222223
23636;A;3;22,0;22,0;5,0;0,47;17,813;37,9;
23636;A;4;22,0;22,0;4,0;0,8777864583333332;56,17833333333333;64,0;1,4422222222222223
23636;A;8;22,0;22,0;1,0;0,6807407407407408;51,05555555555556;75,0;1,4422222222222223
23700;U;1;22,0;22,0;3,0;0,8643703703703705;64,82777777777778;75,0;0,39111111111111113
23700;U;2;22,0;22,0;2,0;0,63508547008547;33,02444444444444;52,0;0,39111111111111113
23700;U;3;22,0;22,0;5,0;0,48031955438287893;18,20411111111111;37,9;0,39111111111111113
23700;U;4;22,0;22,0;4,0;0,8838975694444443;56,569444444444436;64,0;0,39111111111111113
23700;U;8;22,0;22,0;1,0;0,6859555555555555;51,446666666666665;75,0;0,39111111111111113
24000;U;1;22,0;22,0;3,0;0,8888148148148148;66,66111111111111;75,0;1,8333333333333335
24000;U;2;22,0;22,0;2,0;0,6703418803418804;34,85777777777778;52,0;1,8333333333333335
24000;U;3;22,0;22,0;5,0;0,5286924655526238;20,037444444444443;37,9;1,8333333333333335
24000;U;4;22,0;22,0;4,0;0,9125434027777777;58,40277777777777;64,0;1,8333333333333335
24000;U;8;22,0;22,0;1,0;0,7104;53,28;75,0;1,8333333333333335
24136;A;1;20,0;20,0;3,0;0,8998962962962963;67,49222222222222;75,0;0,8311111111111111
24136;A;2;20,0;20,0;2,0;0,6863247863247863;35,68888888888889;52,0;0,8311111111111111
24136;A;3;20,0;20,0;5,0;0,5506215186162415;20,868555555555552;37,9;0,8311111111111111
24136;A;4;20,0;20,0;4,0;0,9255295138888888;59,233888888888885;64,0;0,8311111111111111
24136;A;6;20,0;20,0;6,0;0,54;34,56;64,0;
24136;A;8;20,0;20,0;1,0;0,7214814814814815;54,111111111111114;75,0;0,8311111111111111
24300;U;1;20,0;20,0;3,0;0,9120444444444444;68,40333333333334;75,0;0,9111111111111111
24300;U;2;20,0;20,0;2,0;0,7038461538461539;36,6;52,0;0,9111111111111111
24300;U;3;20,0;20,0;5,0;0,5746613896218117;21,779666666666664;37,9;0,9111111111111111
24300;U;4;20,0;20,0;4,0;0,9397656249999999;60,144999999999996;64,0;0,9111111111111111
24300;U;6;20,0;20,0;6,0;0,5542361111111112;35,471111111111114;64,0;0,9111111111111111
24300;U;8;20,0;20,0;1,0;0,7336296296296296;55,022222222222226;75,0;0,9111111111111111
24600;U;1;20,0;20,0;3,0;0,9342666666666668;70,07000000000001;75,0;1,6666666666666667
24600;U;2;20,0;20,0;2,0;0,7358974358974358;38,266666666666666;52,0;1,6666666666666667
24600;U;3;20,0;20,0;5,0;0,618636763412489;23,44633333333333;37,9;1,6666666666666667
24600;U;4;20,0;20,0;4,0;0,9658072916666666;61,81166666666666;64,0;1,6666666666666667
24600;U;6;20,0;20,0;6,0;0,5802777777777778;37,13777777777778;64,0;1,6666666666666667
24600;U;8;20,0;20,0;1,0;0,7558518518518519;56,68888888888889;75,0;1,6666666666666667
24625;A;1;17,142857142857142;17,142857142857142;3,0;0,9361185185185186;70,2088888888889;75,0;0,1388888888888889
24625;A;2;17,142857142857142;17,142857142857142;2,0;0,738568376068376;38,40555555555555;52,0;0,1388888888888889
24625;A;3;17,142857142857142;17,142857142857142;5,0;0,6223013778950455;23,58522222222222;37,9;0,1388888888888889
24625;A;4;17,142857142857142;17,142857142857142;4,0;0,9679774305555554;61,950555555555546;64,0;0,1388888888888889
24625;A;5;17,142857142857142;17,142857142857142;7,0;0,42;13,565999999999999;32,3;
